sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Espece,Gen_ZONE,Raw
Pb_0495,120296,1075177,8.938,10.619,Pb,SFA-7,5850227
Pb_0496,145570,2548167,17.505,22.932,Pb,SFA-7,12939816
Pb_0497,134411,1564557,11.64,14.507,Pb,SFA-7,8309932
Pb_0498,114650,1725341,15.049,18.361,Pb,SFA-7,8378617
Pb_0499,129841,3032764,23.358,30.927,Pb,SFA-7,16655162
Pb_0500,121162,1171233,9.667,11.551,Pb,SFA-7,6376043
Pb_0501,131379,2379517,18.112,22.475,Pb,SFA-7,12606378
Pb_0502,139997,2650677,18.934,26.41,Pb,SFA-7,14088833
Pb_0503,136290,1765849,12.957,16.534,Pb,SFA-7,8420634
Pb_0504,135553,2325344,17.155,21.647,Pb,SFA-7,12612800
Pb_0505,120441,1288648,10.699,12.667,Pb,SFA-7,7221182
Pb_0506,134599,2739757,20.355,25.649,Pb,SFA-7,14897817
Pb_0507,135048,1958682,14.504,18.273,Pb,SFA-7,10650083
Pb_0508,123315,1594105,12.927,15.465,Pb,SFA-7,8792704
Pb_0509,128938,1585386,12.296,15.113,Pb,SFA-7,9158604
Pb_0510,138497,2862105,20.665,26.082,Pb,SFA-7,15614184
Pb_0511,146867,1644382,11.196,14.627,Pb,SFA-7,8610469
Pb_0512,131957,1505186,11.407,14.234,Pb,SFA-7,7810797
Pb_0513,127848,2028097,15.863,21.024,Pb,SFA-7,10661672
Pb_0514,110188,1221476,11.085,13.268,Pb,SFA-7,6064164
Pb_0544,129310,1475199,11.408,13.96,Pb,SFA-7,8260805
Pb_0545,127508,2308311,18.103,22.217,Pb,SFA-7,12237310
Pb_0546,128895,1814038,14.074,18.67,Pb,SFA-7,9116734
Pb_0547,126499,1344882,10.632,12.837,Pb,SFA-7,7371863
Pb_0548,135426,3320555,24.519,30.564,Pb,SFA-7,17346585
Pb_0549,135296,2854869,21.101,26.782,Pb,SFA-7,15157574
Pb_0550,99384,853121,8.584,9.936,Pb,SFA-7,4337750
Pb_0551,130093,1308031,10.055,12.415,Pb,SFA-7,6922362
Pb_0552,117104,1237669,10.569,12.413,Pb,SFA-7,6803383
Pb_0553,129548,1189618,9.183,11.25,Pb,SFA-7,6277717
Pb_0554,135320,2388837,17.653,22.309,Pb,SFA-7,12528614
Pb_0555,120449,1945883,16.155,20.627,Pb,SFA-7,10425022
Pb_0556,136144,2709466,19.901,24.779,Pb,SFA-7,14564248
Pb_0558,123340,2308899,18.72,24.126,Pb,SFA-7,12396681
Pb_0559,108394,1766235,16.295,20.156,Pb,SFA-7,8572294
Pb_0560,80550,527030,6.543,7.616,Pb,SFA-7,2681072
Pb_0561,122499,1961325,16.011,20.098,Pb,SFA-7,9423298
Pb_0562,113716,783496,6.89,8.101,Pb,SFA-7,4346569
Pb_0563,129332,1689927,13.067,15.994,Pb,SFA-7,8957280
Pb_0564,120394,1201921,9.983,11.867,Pb,SFA-7,6260727
Pb_0565,142172,3017420,21.224,27.578,Pb,SFA-7,16812610
Pb_0566,131838,1755842,13.318,16.532,Pb,SFA-7,9347975
Pb_0567,146510,5009509,34.192,44.709,Pb,SFA-7,26990916
Pb_0568,104522,987156,9.444,11.022,Pb,SFA-7,4986144
Pb_0569,129035,2292568,17.767,21.661,Pb,SFA-7,12275680
Pb_0570,155074,2385975,15.386,20.743,Pb,SFA-7,12428192
Pb_0571,128919,1525540,11.833,14.504,Pb,SFA-7,8513826
Pb_0572,136963,1466779,10.709,13.419,Pb,SFA-7,7762288
Pb_0573,114777,1151837,10.035,11.77,Pb,SFA-7,5930314
Pb_0574,116588,967488,8.298,9.72,Pb,SFA-7,5164886
Pb_0576,126194,1931924,15.309,20.33,Pb,SFA-7,9866432
Pb_0578,96025,645214,6.719,7.606,Pb,SFA-7,3152359
Pb_0579,108451,1241749,11.45,13.63,Pb,SFA-7,6065675
Pb_0580,137497,2690206,19.566,25.213,Pb,SFA-7,14120717
Pb_0581,116623,1961743,16.821,20.761,Pb,SFA-7,9564199
Pb_0583,134360,1725772,12.844,15.984,Pb,SFA-7,9056537
Pb_0585,131655,1403575,10.661,13.24,Pb,SFA-7,7069162
Pb_0586,121319,1209473,9.969,11.953,Pb,SFA-7,6752494
Pb_0588,129231,1495716,11.574,14.131,Pb,SFA-7,7872118
Pb_0590,123468,1640435,13.286,15.825,Pb,SFA-7,8822032
Pb_0591,144464,2183858,15.117,19.777,Pb,SFA-7,11115669
Pb_0617,125508,1101287,8.775,10.697,Pb,SFA-7,5827882
Pb_0619,109706,705079,6.427,7.411,Pb,SFA-7,3788448
Pb_0620,112731,807096,7.159,8.356,Pb,SFA-7,4212696
Pb_0621,139417,2631972,18.878,24.418,Pb,SFA-7,13544673
Pb_0623,129778,709770,5.469,7.054,Pb,SFA-7,3859361
Pb_0624,135783,1959318,14.43,18.917,Pb,SFA-7,10166838
Pb_0626,122096,1735921,14.218,17.777,Pb,SFA-7,8662719
Pb_0627,146762,2443056,16.646,22.698,Pb,SFA-7,13064889
Pb_0628,106935,1050494,9.824,11.582,Pb,SFA-7,5382033
Pb_0629,127841,1293178,10.116,12.486,Pb,SFA-7,6768121
Pb_0630,126821,1556589,12.274,14.911,Pb,SFA-7,8122566
Pb_0633,136548,2197318,16.092,20.411,Pb,SFA-7,11447608
Pb_0634,118059,1399223,11.852,14.668,Pb,SFA-7,6876416
Pb_0637,135971,1310789,9.64,12.658,Pb,SFA-7,7297691
Pb_0639,140304,4281787,30.518,38.998,Pb,SFA-7,22116006
Pb_0640,143717,1405614,9.78,12.701,Pb,SFA-7,7437581
Pb_0642,117762,1442690,12.251,14.442,Pb,SFA-7,7697114
Pb_0643,114881,1305749,11.366,13.589,Pb,SFA-7,6321496
Pb_0644,127286,1396733,10.973,13.355,Pb,SFA-7,7266640
Pb_0645,132085,1543324,11.684,14.509,Pb,SFA-7,8419146
Pb_0646,126484,1588856,12.562,15.272,Pb,SFA-7,8216619
Pb_0647,125598,2367832,18.852,23.884,Pb,SFA-7,12022560
Pb_0648,125282,1301537,10.389,12.555,Pb,SFA-7,6881780
Pb_0649,117403,1757470,14.97,17.656,Pb,SFA-7,9151668
Pb_0650,135011,3203293,23.726,30.264,Pb,SFA-7,16845144
Pb_0652,118990,1626617,13.67,16.21,Pb,SFA-7,8480866
Pb_0653,109465,1020083,9.319,10.971,Pb,SFA-7,5032946
Pb_0655,130839,1354632,10.353,12.944,Pb,SFA-7,7357938
Pb_0656,119696,1695813,14.168,17.513,Pb,SFA-7,8454045
Pb_0658,132033,3302195,25.01,30.993,Pb,SFA-7,17016320
Pb_0660,124513,2544364,20.435,24.587,Pb,SFA-7,12621098
Pb_0661,120180,1109487,9.232,11.018,Pb,SFA-7,5865309
Pb_0662,116821,1787421,15.301,18.079,Pb,SFA-7,9246266
Pb_0663,133813,2521870,18.846,25.562,Pb,SFA-7,13366580
Pb_0664,134354,1967380,14.643,18.488,Pb,SFA-7,10618967
Pb_0667,119825,1725858,14.403,17.659,Pb,SFA-7,8353646
Pb_0668,132421,2879642,21.746,27.129,Pb,SFA-7,15217356
Pb_0693,132442,2955634,22.316,30.347,Pb,SFA-7,15721352
Pb_0694,138485,1834952,13.25,16.856,Pb,SFA-7,9674021
Pb_0695,141781,1782771,12.574,16.244,Pb,SFA-7,9004008
Pb_0696,117512,1011990,8.612,10.156,Pb,SFA-7,5414013
Pb_0697,140527,3256033,23.17,30.077,Pb,SFA-7,17630032
